flyer_item,sku,offer,discount,offer_price,regular_price,instalment_mth,platform,category,url,report_time,,platform,flyer items,offer items,discount items,items by instl./mth,offer items %,discount items %,avg. discount %,avg. instl./mth %,,flyer - category,flyer items,offer items,discount items,items by instl./mth,portfolio %,offer items %,discount items %,avg. discount %,avg. instl./mth %,,flyer - category,Leon's items,Tepperman's items,The Brick items,Walmart items,,flyer - category,Leon's discount %,Tepperman's discount %,The Brick discount %,Walmart discount %
"L2 Motion Lux Twin XL Adjustable Base, , $1299 . Select for details.",L2 Motion Lux Twin XL Adjustable Base,,,1299,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L2 Motion Lux King Adjustable Base, ,  . Select for details.",L2 Motion Lux King Adjustable Base,,,,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L2 Queen & King Beds, ,  . Select for details.",L2 Queen & King Beds,,,,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L2 Motion Lux Twin XL Adjustable Base 16 Reviews, , STARTING FROM $1299 . Select for details.",L2 Motion Lux Twin XL Adjustable Base 16 Reviews,,,1299,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L2 Motion Pro Twin XL Adjustable Base, , $999.00 . Select for details.",L2 Motion Pro Twin XL Adjustable Base,,,999,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L2 Motion Pro Twin XL Adjustable Base, , STARTING FROM $999 . Select for details.",L2 Motion Pro Twin XL Adjustable Base,,,999,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L2 Motion Twin XL Adjustable Base 2.0, + SAVE THE TAX†, STARTING FROM $399 . Select for details.",L2 Motion Twin XL Adjustable Base 2.0,+ SAVE THE TAX†,,399,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beautyrest World Class Viscount Plush King Mattress, , $1899 . Select for details.",Beautyrest World Class Viscount Plush King Mattress,,,1899,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beautyrest World Class Viscount Plush Full Mattress, , $1449 . Select for details.",Beautyrest World Class Viscount Plush Full Mattress,,,1449,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beautyrest World Class Viscount Plush Twin Mattress, , $1399 . Select for details.",Beautyrest World Class Viscount Plush Twin Mattress,,,1399,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sealy Posturepedic Palatial Crest Kamden Firm Eurotop King Mattress, , $1799 . Select for details.",Sealy Posturepedic Palatial Crest Kamden Firm Eurotop King Mattress,,,1799,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sealy Posturepedic Palatial Crest Kamden Firm Eurotop Full Mattress, , $1279 . Select for details.",Sealy Posturepedic Palatial Crest Kamden Firm Eurotop Full Mattress,,,1279,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beautyrest World Class Grandeur Medium King Mattress, , $1599 . Select for details.",Beautyrest World Class Grandeur Medium King Mattress,,,1599,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beautyrest World Class Grandeur Medium Full Mattress, , $1149 . Select for details.",Beautyrest World Class Grandeur Medium Full Mattress,,,1149,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beautyrest World Class Grandeur Medium Twin Mattress, , $1099 . Select for details.",Beautyrest World Class Grandeur Medium Twin Mattress,,,1099,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beautyrest World Class Viscount Plush Queen Mattress, SAVE $1000, + SAVE THE TAX†, $1499 . Select for details.",Beautyrest World Class Viscount Plush Queen Mattress,"SAVE $1000, + SAVE THE TAX†",1000,1499,2499,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sealy Posturepedic Palatial Crest Kamden Firm Eurotop Queen Mattress, SAVE $900, +SAVE THE TAX†, $1299 . Select for details.",Sealy Posturepedic Palatial Crest Kamden Firm Eurotop Queen Mattress,"SAVE $900, +SAVE THE TAX†",900,1299,2199,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beautyrest World Class Grandeur Medium Queen Mattress, + SAVE THE TAX†, NOW ONLY $1199 . Select for details.",Beautyrest World Class Grandeur Medium Queen Mattress,+ SAVE THE TAX†,,1199,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beautyrest World Class Monarch Firm King Mattress, , $1299 . Select for details.",Beautyrest World Class Monarch Firm King Mattress,,,1299,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingsdown Oxford Firm Tight Top King Mattress, , $1099 . Select for details.",Kingsdown Oxford Firm Tight Top King Mattress,,,1099,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingsdown Natasha Plush King Mattress, , $999 . Select for details.",Kingsdown Natasha Plush King Mattress,,,999,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beautyrest World Class Monarch Firm Full Mattress, , $849 . Select for details.",Beautyrest World Class Monarch Firm Full Mattress,,,849,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingsdown Oxford Firm Tight Top Full Mattress, , $779 . Select for details.",Kingsdown Oxford Firm Tight Top Full Mattress,,,779,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingsdown Natasha Plush Full Mattress, , $599 . Select for details.",Kingsdown Natasha Plush Full Mattress,,,599,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beautyrest World Class Monarch Firm Mattress Collection, , $799 . Select for details.",Beautyrest World Class Monarch Firm Mattress Collection,,,799,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingsdown Oxford Firm Tight Top Twin Mattress, , $749 . Select for details.",Kingsdown Oxford Firm Tight Top Twin Mattress,,,749,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingsdown Natasha Plush Twin Mattress, , $549 . Select for details.",Kingsdown Natasha Plush Twin Mattress,,,549,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beautyrest World Class Monarch Firm Queen Mattress, , NOW ONLY $899 . Select for details.",Beautyrest World Class Monarch Firm Queen Mattress,,,899,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingsdown Oxford Firm Tight Top King Mattress, SAVE $530 + SAVE THE TAX†, $799 . Select for details.",Kingsdown Oxford Firm Tight Top King Mattress,SAVE $530 + SAVE THE TAX†,530,799,1329,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingsdown Natasha Plush Queen Mattress, + SAVE THE TAX†, NOW ONLY $649 . Select for details.",Kingsdown Natasha Plush Queen Mattress,+ SAVE THE TAX†,,649,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sealy Essentials Remy Firm Eurotop King Mattress, , $799 . Select for details.",Sealy Essentials Remy Firm Eurotop King Mattress,,,799,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingsdown - Kensey Firm King Mattress, , $699 . Select for details.",Kingsdown - Kensey Firm King Mattress,,,699,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sealy® Essentials Remy Firm Eurotop Full Mattress, , $479 . Select for details.",Sealy® Essentials Remy Firm Eurotop Full Mattress,,,479,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingsdown - Kensey Firm Full Mattress, , $429 . Select for details.",Kingsdown - Kensey Firm Full Mattress,,,429,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sealy® Essentials Evan Medium Full Mattress, , $279 . Select for details.",Sealy® Essentials Evan Medium Full Mattress,,,279,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sealy Essentials Remy Firm Eurotop Twin XL Mattress and L2 Motion Adjustable Base 2.0, , $449 . Select for details.",Sealy Essentials Remy Firm Eurotop Twin XL Mattress and L2 Motion Adjustable Base 2.0,,,449,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingsdown - Kensey Firm Twin Mattress, , $369 . Select for details.",Kingsdown - Kensey Firm Twin Mattress,,,369,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sealy Essentials Evan Medium Twin Mattress, , $249 . Select for details.",Sealy Essentials Evan Medium Twin Mattress,,,249,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sealy® Essentials Remy Firm Eurotop Queen Mattress, SAVE $350 + SAVE THE TAX†, $499 . Select for details.",Sealy® Essentials Remy Firm Eurotop Queen Mattress,SAVE $350 + SAVE THE TAX†,350,499,849,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingsdown - Kensey Firm Queen Mattress, SAVE $310, + SAVE THE TAX†, $449 . Select for details.",Kingsdown - Kensey Firm Queen Mattress,"SAVE $310, + SAVE THE TAX†",310,449,759,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sealy Essentials Evan Medium Queen Mattress, SAVE $200, + SAVE THE TAX†, $299 . Select for details.",Sealy Essentials Evan Medium Queen Mattress,"SAVE $200, + SAVE THE TAX†",200,299,499,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingsdown Mila Medium King Mattress, , $849 . Select for details.",Kingsdown Mila Medium King Mattress,,,849,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingsdown Mila Medium Full Mattress, , $499 . Select for details.",Kingsdown Mila Medium Full Mattress,,,499,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingsdown Mila Medium Twin Mattress, , $449 . Select for details.",Kingsdown Mila Medium Twin Mattress,,,449,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingsdown Mila Medium Queen Mattress, , NOW ONLY $549 . Select for details.",Kingsdown Mila Medium Queen Mattress,,,549,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wyden Desk - Rustic Brown, , NOW ONLY $399 . Select for details.",Wyden Desk - Rustic Brown,,,399,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cohen 78"" Fireplace TV Stand - Grey, SAVE $50, + SAVE THE TAX†, $699 . Select for details.","Cohen 78"" Fireplace TV Stand - Grey","SAVE $50, + SAVE THE TAX†",50,699,749,,Leon's,TV & Lighting,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Damien Flat Panel Television Stand - Black, SAVE $50, + SAVE THE TAX†, $499 . Select for details.",Damien Flat Panel Television Stand - Black,"SAVE $50, + SAVE THE TAX†",50,499,549,,Leon's,,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milo Console Table/Desk - Natural, , $479 . Select for details.",Milo Console Table/Desk - Natural,,,479,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gable Sofa Table - Weathered Charcoal, , $649 . Select for details.",Gable Sofa Table - Weathered Charcoal,,,649,,,Leon's,Sofa Sets,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milo Chairside Table, , $329 . Select for details.",Milo Chairside Table,,,329,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gable End Table - Weathered Charcoal, , $399 . Select for details.",Gable End Table - Weathered Charcoal,,,399,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milo End Table- Natural, , $379 . Select for details.",Milo End Table- Natural,,,379,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bellissimo End Table - White & Grey, , $289 . Select for details.",Bellissimo End Table - White & Grey,,,289,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Axis End Table - Chrome, , $199 . Select for details.",Axis End Table - Chrome,,,199,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gable Lift-Top Coffee Table - Weathered Charcoal, , NOW ONLY $699 . Select for details.",Gable Lift-Top Coffee Table - Weathered Charcoal,,,699,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milo Lift Top Coffee Table - Natural, SAVE $50, +SAVE THE TAX†, $549 . Select for details.",Milo Lift Top Coffee Table - Natural,"SAVE $50, +SAVE THE TAX†",50,549,599,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bellissimo Coffee Table - White & Grey, +SAVE THE TAX†, NOW ONLY $329 . Select for details.",Bellissimo Coffee Table - White & Grey,+SAVE THE TAX†,,329,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Axis Coffee Table - Glass and Gold, ,  . Select for details.",Axis Coffee Table - Glass and Gold,,,,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Axis Coffee Table - Chrome, , NOW ONLY $279 . Select for details.",Axis Coffee Table - Chrome,,,279,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingstown Server - Chocolate, , $1049 . Select for details.",Kingstown Server - Chocolate,,,1049,,,Leon's,,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingstown 6-Piece Extendable Dining Set - Chocolate, , $1699 . Select for details.",Kingstown 6-Piece Extendable Dining Set - Chocolate,,,1699,,,Leon's,"BBQ, Cooking & Dining",https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingstown Bench - Chocolate, , $259 . Select for details.",Kingstown Bench - Chocolate,,,259,,,Leon's,,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingstown Side Chair - Chocolate, , $169 ea. . Select for details.",Kingstown Side Chair - Chocolate,,,169,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingstown Extendable Dining Table - Chocolate, , $899 . Select for details.",Kingstown Extendable Dining Table - Chocolate,,,899,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Danny Side Chair - Grey, , $139 ea. . Select for details.",Danny Side Chair - Grey,,,139,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Danny Extendable Dining Table - White, , $749 . Select for details.",Danny Extendable Dining Table - White,,,749,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingstown 7-Piece Extendable Counter Height Dining Set - Chocolate, ,  . Select for details.",Kingstown 7-Piece Extendable Counter Height Dining Set - Chocolate,,,,,,Leon's,"BBQ, Cooking & Dining",https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kingstown 7-Piece Extendable Dining Set - Chocolate, SAVE $400, $1799 . Select for details.",Kingstown 7-Piece Extendable Dining Set - Chocolate,SAVE $400,400,1799,2199,,Leon's,"BBQ, Cooking & Dining",https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Danny 7-Piece Extendable Dining Set - White and Dark Grey, , NOW ONLY $1299 . Select for details.",Danny 7-Piece Extendable Dining Set - White and Dark Grey,,,1299,,,Leon's,"BBQ, Cooking & Dining",https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raven Noir 7-Piece Dining Set - Ebony, Driftwood, , $899 . Select for details.",Raven Noir 7-Piece Dining Set - Ebony,"Driftwood, ",,899,,,Leon's,"BBQ, Cooking & Dining",https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raven Noir 6-Piece Dining Set - Ebony, Driftwood, , NOW ONLY $699.00 . Select for details.",Raven Noir 6-Piece Dining Set - Ebony,"Driftwood, ",,699,,,Leon's,"BBQ, Cooking & Dining",https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raven Noir Bench - Ebony, Driftwood, , $200 . Select for details.",Raven Noir Bench - Ebony,"Driftwood, ",,200,,,Leon's,,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raven Noir Side Chair - Ebony, Driftwood, , $139 ea. . Select for details.",Raven Noir Side Chair - Ebony,"Driftwood, ",,139,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raven Noir Dining Table - Ebony, Driftwood, , $349 . Select for details.",Raven Noir Dining Table - Ebony,"Driftwood, ",,349,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carson Side Chair - Grey, , $129 ea. . Select for details.",Carson Side Chair - Grey,,,129,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carson Dining Table - Grey, , $299 . Select for details.",Carson Dining Table - Grey,,,299,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raven Noir 6-Piece Dining Set - Ebony, Driftwood, ,  . Select for details.",Raven Noir 6-Piece Dining Set - Ebony,"Driftwood, ",,,,,Leon's,"BBQ, Cooking & Dining",https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raven Noir 6-Piece Dining Set - Ebony, Driftwood, , NOW ONLY $899 . Select for details.",Raven Noir 6-Piece Dining Set - Ebony,"Driftwood, ",,899,,,Leon's,"BBQ, Cooking & Dining",https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carson 5-Piece Dining Set - Grey, , NOW ONLY $699 . Select for details.",Carson 5-Piece Dining Set - Grey,,,699,,,Leon's,"BBQ, Cooking & Dining",https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macey 3-Piece King Bed - White, , $999 . Select for details.",Macey 3-Piece King Bed - White,,,999,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macey 3-Piece Full Bed - White, , $679 . Select for details.",Macey 3-Piece Full Bed - White,,,679,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macey 6-Piece Queen Bedroom Package - White, , $2049 . Select for details.",Macey 6-Piece Queen Bedroom Package - White,,,2049,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crib Mattresses, , Starting from $99 . Select for details.",Crib Mattresses,,,99,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Emery Convertible Panel Crib - White, , NOW ONLY $299 . Select for details.",Emery Convertible Panel Crib - White,,,299,,,Leon's,,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macey 6 Drawer Chest - White, , $549 . Select for details.",Macey 6 Drawer Chest - White,,,549,,,Leon's,,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macey Night Table - White, , $349 . Select for details.",Macey Night Table - White,,,349,,,Leon's,Table+Chair+Desk,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macey 7 Drawer Dresser - White, , $799 . Select for details.",Macey 7 Drawer Dresser - White,,,799,,,Leon's,,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macey Mirror - White, , $249 . Select for details.",Macey Mirror - White,,,249,,,Leon's,,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macey 3-Piece Queen Bed - White, SAVE $200, + SAVE THE TAX†, $699 . Select for details.",Macey 3-Piece Queen Bed - White,"SAVE $200, + SAVE THE TAX†",200,699,899,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Mateo 3-Piece King Bed -Tuscan, , $899 . Select for details.",San Mateo 3-Piece King Bed -Tuscan,,,899,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Mateo Full Bed- Tuscan, , $649 . Select for details.",San Mateo Full Bed- Tuscan,,,649,,,Leon's,Bedroom & Mattress,https://www.leons.ca/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
