flyer_item,sku,offer,discount,offer_price,regular_price,instalment_mth,platform,category,url,report_time,,platform,flyer items,offer items,discount items,items by instl./mth,offer items %,discount items %,avg. discount %,avg. instl./mth %,,flyer - category,flyer items,offer items,discount items,items by instl./mth,portfolio %,offer items %,discount items %,avg. discount %,avg. instl./mth %,,flyer - category,Leon's items,Tepperman's items,The Brick items,Walmart items,,flyer - category,Leon's discount %,Tepperman's discount %,The Brick discount %,Walmart discount %
"Brianna Dark Grey 2-Piece Twin Comforter Set, , $79.00 After Discount . Select for details.",Brianna Dark Grey 2-Piece Twin Comforter Set,,,79,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grayson Panel Bed with Headboard & Frame, Made in Canada, Rustic, Dark Grey - Queen Size, , $469.95 . Select for details.",Grayson Panel Bed with Headboard & Frame,"Made in Canada, Rustic, Dark Grey - Queen Size, ",,469.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tara Upholstered Bed in Beige Linen-Look Fabric, Button Tufted - Twin Size, , $249.95 . Select for details.",Tara Upholstered Bed in Beige Linen-Look Fabric,"Button Tufted - Twin Size, ",,249.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coraline 3-Piece Twin Comforter Set, , $59.95 After Discount . Select for details.",Coraline 3-Piece Twin Comforter Set,,,59.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"William 3-Piece Twin Comforter Set, , $59.95 After Discount . Select for details.",William 3-Piece Twin Comforter Set,,,59.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Molly 3-Piece Twin Comforter Set, , $59.95 After Discount . Select for details.",Molly 3-Piece Twin Comforter Set,,,59.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abby Panel Bed with Headboard & Frame for Kids, LED, USB, White - Twin Size, , $519.95 After Discount . Select for details.",Abby Panel Bed with Headboard & Frame for Kids,"LED, USB, White - Twin Size, ",,519.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaia Panel Bed for Kids, Whitewash - Twin Size, , $439.98 After Discount . Select for details.",Kaia Panel Bed for Kids,"Whitewash - Twin Size, ",,439.98,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Striped 4-Piece Queen Cotton Sheet Set - Light Grey, , $69.95 ea. After Discount . Select for details.",Striped 4-Piece Queen Cotton Sheet Set - Light Grey,,,69.95,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joey 3-Piece Twin Cotton Sheet Set, BUYER'S BEST, $49.00 . Select for details.",Joey 3-Piece Twin Cotton Sheet Set,BUYER'S BEST,,49,,,The Brick,Bedroom & Mattress,https://www.thebrick.com/pages/flyer,"2024-07-19, 12:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
